date,from,value_m3
2021-03-24,Morocco,22186563.01625366
2021-03-24,Norway,234359348.57447374
2021-03-24,Russia,433898159.4555467
2021-03-24,United Kingdom,14777609.938715694
2021-03-25,Algeria,86689664.1797673
2021-03-25,Azerbaijan,15306986.499689138
2021-03-25,Libya,9247989.608313348
2021-03-25,LNG,276996332.4540368
2021-03-25,Morocco,22177257.838173904
2021-03-25,Norway,234654882.74269474
2021-03-25,Russia,436016292.52065015
2021-03-25,United Kingdom,14654418.074429346
2021-03-26,Algeria,86709384.40358824
2021-03-26,Azerbaijan,14414186.695088372
2021-03-26,Libya,10713801.758593123
2021-03-26,LNG,268863510.36504126
2021-03-26,Morocco,22148308.553157475
2021-03-26,Norway,224391710.12523314
2021-03-26,Russia,432445313.0881961
2021-03-26,United Kingdom,8869515.67634781
2021-03-27,Algeria,86319373.21254107
2021-03-27,Azerbaijan,17423966.515676346
2021-03-27,Libya,8755742.25064393
2021-03-27,LNG,226892695.19495514
2021-03-27,Morocco,21677881.872279953
2021-03-27,Norway,213020543.2365219
2021-03-27,Russia,408022902.0881073
2021-03-27,United Kingdom,1425860.644817479
2021-03-28,Algeria,86573516.20925482
2021-03-28,Azerbaijan,12963900.968114397
2021-03-28,Libya,9249555.111466382
2021-03-28,LNG,223969100.23980814
