Date,Price,Open,High,Low,Vol.,Change %
"Dec 01, 2020",61.25,60.95,61.7,60.9,0.11K,0.16%
"Nov 30, 2020",61.15,60.5,60.75,60.5,0.14K,14.09%
"Nov 27, 2020",53.6,53.6,53.6,53.6,-,0.09%
"Nov 26, 2020",53.55,53.55,53.55,53.55,-,0.00%
"Nov 25, 2020",53.55,53.55,53.55,53.55,-,0.66%
"Nov 24, 2020",53.2,53.2,53.2,53.2,-,0.47%
"Nov 23, 2020",52.95,53,53.15,53,0.00K,-0.09%
"Nov 20, 2020",53,52.7,52.9,52.7,0.08K,0.47%
"Nov 19, 2020",52.75,52.75,52.9,52.75,0.02K,-0.19%
"Nov 18, 2020",52.85,52.85,52.85,52.85,-,0.19%
"Nov 17, 2020",52.75,52.8,52.85,52.75,0.01K,-0.38%
"Nov 16, 2020",52.95,53,53,53,0.02K,0.47%
"Nov 13, 2020",52.7,52.5,52.75,52.5,0.07K,1.25%
"Nov 12, 2020",52.05,51.45,52.5,51.45,0.11K,1.26%
"Nov 11, 2020",51.4,51.4,51.45,51.2,0.05K,0.10%
"Nov 10, 2020",51.35,51.4,51.4,51.3,0.12K,0.59%
"Nov 09, 2020",51.05,51,51.3,51,0.03K,0.49%
"Nov 06, 2020",50.8,50.75,50.75,50.75,0.04K,-1.17%
"Nov 05, 2020",51.4,50.85,51.25,50.85,0.06K,1.08%
"Nov 04, 2020",50.85,50.8,50.85,50.8,0.07K,-0.39%
"Nov 03, 2020",51.05,50.9,51.25,50.9,0.13K,0.29%
"Nov 02, 2020",50.9,50.7,51,50.7,0.05K,-9.19%
"Oct 30, 2020",56.05,56.05,56.05,56.05,-,-0.09%
"Oct 29, 2020",56.1,56.25,56.25,56.25,0.00K,-0.71%
"Oct 28, 2020",56.5,56.5,56.5,56.5,0.00K,-0.09%
"Oct 27, 2020",56.55,56.25,56.6,56.25,0.02K,-0.26%
"Oct 26, 2020",56.7,56.7,56.7,56.7,-,0.00%
"Oct 23, 2020",56.7,56.7,56.9,56.7,0.01K,-0.09%
"Oct 22, 2020",56.75,56.75,56.75,56.75,0.00K,0.44%
"Oct 21, 2020",56.5,56.5,56.5,56.5,0.01K,-1.05%
"Oct 20, 2020",57.1,57.1,57.1,57.1,0.03K,0.00%
"Oct 19, 2020",57.1,57.1,57.1,57.1,0.05K,0.18%
"Oct 16, 2020",57,56.95,56.95,56.95,0.01K,0.35%
"Oct 15, 2020",56.8,56.5,57.05,56.4,0.02K,0.35%
"Oct 14, 2020",56.6,56.8,56.8,56.8,0.01K,0.18%
"Oct 13, 2020",56.5,56.5,56.5,56.5,0.01K,-0.62%
"Oct 12, 2020",56.85,57.3,57.3,56.75,0.03K,-1.30%
"Oct 09, 2020",57.6,57.45,57.5,57.45,0.03K,-0.17%
"Oct 08, 2020",57.7,57.6,57.6,57.6,0.03K,0.09%
"Oct 07, 2020",57.65,57.4,57.4,57.4,0.05K,-0.09%
"Oct 06, 2020",57.7,57.7,57.7,57.7,0.02K,0.00%
"Oct 05, 2020",57.7,57.25,57.4,57.25,0.07K,2.30%
"Oct 02, 2020",56.4,56.8,56.8,56.4,0.16K,-1.66%
"Oct 01, 2020",57.35,57.65,57.7,57.6,0.09K,0.26%
"Sep 30, 2020",57.2,56.75,57.1,56.75,0.27K,0.26%
"Sep 29, 2020",57.05,56.9,57.3,56.9,0.30K,-0.26%
"Sep 28, 2020",57.2,56.7,57.3,56.7,0.22K,9.26%
"Sep 25, 2020",52.35,52.35,52.35,52.35,-,0.19%
"Sep 24, 2020",52.25,52.3,52.3,52.3,0.00K,0.19%
"Sep 23, 2020",52.15,52.15,52.15,52.15,0.00K,0.10%
"Sep 22, 2020",52.1,52.1,52.1,52.1,-,0.00%
"Sep 21, 2020",52.1,52,52,52,0.01K,0.19%
"Sep 18, 2020",52,51.9,51.9,51.9,0.02K,0.19%
"Sep 17, 2020",51.9,52.1,52.1,52.05,0.01K,0.00%
"Sep 16, 2020",51.9,52.05,52.05,52.05,0.01K,0.19%
"Sep 15, 2020",51.8,51.8,51.8,51.8,-,0.19%
"Sep 14, 2020",51.7,51.7,51.7,51.7,-,0.00%
"Sep 11, 2020",51.7,51.5,51.5,51.5,0.00K,0.00%
"Sep 10, 2020",51.7,51.75,51.75,51.75,0.01K,0.98%
"Sep 09, 2020",51.2,51.5,51.75,51.5,0.03K,0.00%
"Sep 08, 2020",51.2,51,51,51,0.01K,0.39%
"Sep 07, 2020",51,51,51,51,0.07K,-0.78%
"Sep 04, 2020",51.4,51.4,51.4,51.4,0.01K,-0.19%
"Sep 03, 2020",51.5,51.5,51.5,51.5,0.05K,0.00%
"Sep 02, 2020",51.5,52,52,51.4,0.24K,-2.28%
"Sep 01, 2020",52.7,52.5,52.8,52.25,0.06K,-0.38%
"Aug 31, 2020",52.9,52.75,52.75,52.75,0.00K,7.96%
"Aug 28, 2020",49,49,49,49,-,0.20%
"Aug 27, 2020",48.9,48.9,48.9,48.9,-,-0.10%
"Aug 26, 2020",48.95,48.95,48.95,48.95,-,0.10%
"Aug 25, 2020",48.9,48.9,48.9,48.9,-,0.20%
"Aug 24, 2020",48.8,48.8,48.8,48.8,-,0.31%
"Aug 21, 2020",48.65,48.65,48.65,48.65,-,-0.51%
"Aug 20, 2020",48.9,48.9,48.9,48.9,-,-0.51%
"Aug 19, 2020",49.15,49.15,49.15,49.15,0.02K,-0.41%
"Aug 18, 2020",49.35,49.35,49.35,49.35,-,-0.10%
"Aug 17, 2020",49.4,49.4,49.4,49.4,-,0.30%
"Aug 14, 2020",49.25,50,50,49.3,0.05K,-0.51%
"Aug 13, 2020",49.5,49.5,49.5,49.5,0.03K,-0.40%
"Aug 12, 2020",49.7,49.75,49.8,49.75,0.05K,-1.19%
"Aug 11, 2020",50.3,50.5,50.5,50.35,0.03K,-0.49%
"Aug 10, 2020",50.55,50.85,50.9,50.85,0.00K,-0.49%
"Aug 07, 2020",50.8,50.8,50.8,50.8,0.02K,1.20%
"Aug 06, 2020",50.2,50.2,50.2,50.2,0.10K,-2.14%
"Aug 05, 2020",51.3,51.5,51.5,51,0.13K,-0.58%
"Aug 04, 2020",51.6,51.75,51.75,51.6,0.02K,-0.19%
"Aug 03, 2020",51.7,51.75,51.75,51.65,0.06K,3.61%
"Jul 31, 2020",49.9,49.9,49.9,49.9,-,0.10%
"Jul 30, 2020",49.85,49.85,49.85,49.85,-,0.30%
"Jul 29, 2020",49.7,49.7,49.7,49.7,-,0.00%
"Jul 28, 2020",49.7,49.7,49.7,49.7,-,0.40%
"Jul 27, 2020",49.5,49.5,49.5,49.5,-,-0.10%
"Jul 24, 2020",49.55,49.6,49.6,49.6,0.00K,-0.10%
"Jul 23, 2020",49.6,49.4,49.4,49.4,0.01K,-0.20%
"Jul 22, 2020",49.7,49.7,49.7,49.7,0.03K,0.20%
"Jul 21, 2020",49.6,49.6,49.6,49.6,0.02K,1.12%
"Jul 20, 2020",49.05,48.7,49,48.7,0.05K,-0.41%
"Jul 17, 2020",49.25,49.25,49.25,49.25,-,0.51%
"Jul 16, 2020",49,49,49,49,-,0.00%
"Jul 15, 2020",49,49,49,49,0.03K,0.72%
