"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 12, 2017","74.90","74.90","74.90","74.90","0.02K","-0.27%"
"Apr 11, 2017","75.10","75.10","75.10","75.10","0.02K","-0.53%"
"Apr 10, 2017","75.50","76.05","76.05","75.50","0.01K","-1.50%"
"Apr 07, 2017","76.65","76.65","76.65","76.65","0.01K","-1.48%"
"Apr 06, 2017","77.80","77.80","77.80","77.80","0.03K","0.71%"
"Apr 05, 2017","77.25","77.10","77.10","77.10","0.05K","1.44%"
"Apr 04, 2017","76.15","77.10","77.90","77.10","0.17K","-0.85%"
"Apr 03, 2017","76.80","76.80","76.80","76.80","0.07K","3.50%"
"Mar 31, 2017","74.20","74.20","74.20","74.20","-","0.68%"
"Mar 30, 2017","73.70","73.70","73.70","73.70","-","0.00%"
"Mar 29, 2017","73.70","73.70","73.70","73.70","-","0.00%"
"Mar 28, 2017","73.70","73.70","73.70","73.70","-","0.20%"
"Mar 27, 2017","73.55","73.55","73.55","73.55","-","0.14%"
"Mar 24, 2017","73.45","74.00","74.00","74.00","0.03K","-0.47%"
"Mar 23, 2017","73.80","73.80","73.80","73.80","-","0.20%"
"Mar 22, 2017","73.65","73.65","73.65","73.65","-","-0.20%"
"Mar 21, 2017","73.80","73.80","73.80","73.80","-","-0.47%"
"Mar 20, 2017","74.15","74.15","74.15","74.15","-","-0.94%"
"Mar 17, 2017","74.85","74.85","74.85","74.85","-","0.20%"
"Mar 16, 2017","74.70","74.70","74.70","74.70","-","-0.60%"
"Mar 15, 2017","75.15","75.15","75.15","75.15","-","-0.13%"
"Mar 14, 2017","75.25","75.25","75.25","75.25","-","-0.79%"
"Mar 13, 2017","75.85","75.85","75.85","75.85","-","0.66%"
"Mar 10, 2017","75.35","75.60","75.60","75.30","0.00K","0.87%"
"Mar 09, 2017","74.70","74.70","74.70","74.70","-","-1.84%"
"Mar 08, 2017","76.10","76.10","76.10","76.10","0.10K","0.40%"
"Mar 07, 2017","75.80","75.80","75.80","75.80","-","-1.30%"
"Mar 06, 2017","76.80","76.80","76.80","76.80","0.02K","-0.13%"
"Mar 03, 2017","76.90","77.55","77.55","77.00","0.12K","-1.35%"
"Mar 02, 2017","77.95","78.00","78.00","77.85","0.11K","-1.08%"
"Mar 01, 2017","78.80","78.10","78.65","78.10","0.24K","1.16%"
"Feb 28, 2017","77.90","78.10","78.15","77.90","0.06K","-0.95%"
"Feb 27, 2017","78.65","79.05","79.05","78.40","0.05K","-4.20%"
"Feb 24, 2017","82.10","82.10","82.10","82.10","-","0.00%"
"Feb 23, 2017","82.10","82.10","82.10","82.10","-","0.00%"
"Feb 22, 2017","82.10","82.10","82.10","82.10","-","-0.12%"
"Feb 21, 2017","82.20","82.20","82.20","82.20","-","0.00%"
"Feb 20, 2017","82.20","82.20","82.20","82.20","0.01K","0.49%"
"Feb 17, 2017","81.80","81.80","81.80","81.80","0.01K","0.06%"
"Feb 16, 2017","81.75","81.75","81.75","81.75","0.01K","0.31%"
"Feb 15, 2017","81.50","81.50","81.50","81.50","0.02K","1.24%"
"Feb 14, 2017","80.50","80.25","80.75","80.25","0.07K","0.00%"
"Feb 13, 2017","80.50","80.45","80.45","80.45","0.06K","-0.86%"
"Feb 10, 2017","81.20","81.05","81.10","81.00","0.08K","-1.93%"
"Feb 09, 2017","82.80","82.80","82.80","82.80","0.02K","-0.36%"
