date,destination_region,commodity_group,Pricecap: 2021H1 - EU imports + EU/GB/NO ships,Pricecap: 2021H1 - EU imports only,Pricecap: SRMC - EU imports + EU/GB/NO ships,Pricecap: SRMC - EU imports only,Without price cap,unit
2021-12-08,EU,oil,125434520.72884949,125434520.72884949,125434520.72884949,125434520.72884949,125434520.72884949,EUR
2021-12-08,Others,gas,3916933.21214466,3916933.21214466,3916933.21214466,3916933.21214466,3916933.21214466,EUR
2021-12-08,Others,oil,22958899.793258898,22958899.793258898,22958899.793258898,22958899.793258898,22958899.793258898,EUR
2021-12-08,Turkey,gas,21066404.603779048,21066404.603779048,21066404.603779048,21066404.603779048,21066404.603779048,EUR
2021-12-08,United States,oil,16686192.887737483,16686192.887737483,16686192.887737483,16686192.887737483,16686192.887737483,EUR
2021-12-09,China,coal,14455807.63852039,14455807.63852039,14455807.63852039,14455807.63852039,14455807.63852039,EUR
2021-12-09,China,oil,55920989.38039297,55920989.38039297,55920989.38039297,55920989.38039297,55920989.38039297,EUR
2021-12-09,EU,coal,37327646.57445226,37327646.57445226,37327646.57445226,37327646.57445226,37327646.57445226,EUR
2021-12-09,EU,gas,230957592.16559353,230957592.16559353,230957592.16559353,230957592.16559353,230957592.16559353,EUR
2021-12-09,EU,oil,234608104.60823905,234608104.60823905,234608104.60823905,234608104.60823905,234608104.60823905,EUR
2021-12-09,Others,coal,10250265.248305598,10250265.248305598,10250265.248305598,10250265.248305598,10250265.248305598,EUR
2021-12-09,Others,gas,321505.5698513088,321505.5698513088,321505.5698513088,321505.5698513088,321505.5698513088,EUR
2021-12-09,Others,oil,28087892.8177523,28087892.8177523,28087892.8177523,28087892.8177523,28087892.8177523,EUR
2021-12-09,South Korea,oil,8177504.444297902,8177504.444297902,8177504.444297902,8177504.444297902,8177504.444297902,EUR
2021-12-09,Turkey,coal,9761209.65027203,9761209.65027203,9761209.65027203,9761209.65027203,9761209.65027203,EUR
2021-12-09,Turkey,gas,21187277.268756248,21187277.268756248,21187277.268756248,21187277.268756248,21187277.268756248,EUR
2021-12-09,Turkey,oil,4369803.97549515,4369803.97549515,4369803.97549515,4369803.97549515,4369803.97549515,EUR
2021-12-10,China,coal,5082926.711330103,5082926.711330103,5082926.711330103,5082926.711330103,5082926.711330103,EUR
2021-12-10,China,oil,58579933.81863016,58579933.81863016,58579933.81863016,58579933.81863016,58579933.81863016,EUR
2021-12-10,EU,coal,30805110.73396754,30805110.73396754,30805110.73396754,30805110.73396754,30805110.73396754,EUR
2021-12-10,EU,gas,232598679.8877687,232598679.8877687,232598679.8877687,232598679.8877687,232598679.8877687,EUR
2021-12-10,EU,oil,288952300.16400677,288952300.16400677,288952300.16400677,288952300.16400677,288952300.16400677,EUR
2021-12-10,Others,gas,262070.75373202335,262070.75373202335,262070.75373202335,262070.75373202335,262070.75373202335,EUR
2021-12-10,Others,oil,36869633.1045829,36869633.1045829,36869633.1045829,36869633.1045829,36869633.1045829,EUR
2021-12-10,South Korea,coal,5843102.882994737,5843102.882994737,5843102.882994737,5843102.882994737,5843102.882994737,EUR
2021-12-10,Turkey,gas,21341296.0128352,21341296.0128352,21341296.0128352,21341296.0128352,21341296.0128352,EUR
2021-12-10,Turkey,oil,7474603.15222787,7474603.15222787,7474603.15222787,7474603.15222787,7474603.15222787,EUR
2021-12-10,United Kingdom,oil,44177530.44954693,44177530.44954693,44177530.44954693,44177530.44954693,44177530.44954693,EUR
2021-12-11,China,coal,8640466.494583212,8640466.494583212,8640466.494583212,8640466.494583212,8640466.494583212,EUR
2021-12-11,EU,coal,12561572.709164994,12561572.709164994,12561572.709164994,12561572.709164994,12561572.709164994,EUR
2021-12-11,EU,gas,230854164.54183123,230854164.54183123,230854164.54183123,230854164.54183123,230854164.54183123,EUR
2021-12-11,EU,oil,262161032.0322297,262161032.0322297,262161032.0322297,262161032.0322297,262161032.0322297,EUR
2021-12-11,Others,coal,2645371.150818454,2645371.150818454,2645371.150818454,2645371.150818454,2645371.150818454,EUR
2021-12-11,Others,gas,1776673.3229225911,1776673.3229225911,1776673.3229225911,1776673.3229225911,1776673.3229225911,EUR
2021-12-11,South Korea,oil,10305307.439942766,10305307.439942766,10305307.439942766,10305307.439942766,10305307.439942766,EUR
2021-12-11,Turkey,coal,3152912.5441537956,3152912.5441537956,3152912.5441537956,3152912.5441537956,3152912.5441537956,EUR
2021-12-11,Turkey,gas,21475607.11584165,21475607.11584165,21475607.11584165,21475607.11584165,21475607.11584165,EUR
2021-12-11,Turkey,oil,3647332.112969104,3647332.112969104,3647332.112969104,3647332.112969104,3647332.112969104,EUR
2021-12-11,United States,oil,74968.20612836043,74968.20612836043,74968.20612836043,74968.20612836043,74968.20612836043,EUR
2021-12-12,China,oil,83021602.29686823,83021602.29686823,83021602.29686823,83021602.29686823,83021602.29686823,EUR
2021-12-12,EU,coal,29186933.336024098,29186933.336024098,29186933.336024098,29186933.336024098,29186933.336024098,EUR
2021-12-12,EU,gas,235583668.99359757,235583668.99359757,235583668.99359757,235583668.99359757,235583668.99359757,EUR
2021-12-12,EU,oil,175610621.71501338,175610621.71501338,175610621.71501338,175610621.71501338,175610621.71501338,EUR
2021-12-12,Others,gas,47067355.60395755,47067355.60395755,47067355.60395755,47067355.60395755,47067355.60395755,EUR
2021-12-12,Others,oil,72184.51931777467,72184.51931777467,72184.51931777467,72184.51931777467,72184.51931777467,EUR
2021-12-12,South Korea,coal,6905681.545133,6905681.545133,6905681.545133,6905681.545133,6905681.545133,EUR
2021-12-12,South Korea,oil,21581724.55294985,21581724.55294985,21581724.55294985,21581724.55294985,21581724.55294985,EUR
2021-12-12,Turkey,coal,707707.4296322229,707707.4296322229,707707.4296322229,707707.4296322229,707707.4296322229,EUR
2021-12-12,Turkey,gas,21606005.37514022,21606005.37514022,21606005.37514022,21606005.37514022,21606005.37514022,EUR
2021-12-12,United Kingdom,oil,50310200.82236979,50310200.82236979,50310200.82236979,50310200.82236979,50310200.82236979,EUR
2021-12-13,China,coal,5043975.564511855,5043975.564511855,5043975.564511855,5043975.564511855,5043975.564511855,EUR
2021-12-13,China,oil,169690556.30621144,169690556.30621144,169690556.30621144,169690556.30621144,169690556.30621144,EUR
2021-12-13,EU,coal,12674793.285455542,12674793.285455542,12674793.285455542,12674793.285455542,12674793.285455542,EUR
2021-12-13,EU,gas,236922573.0900978,236922573.0900978,236922573.0900978,236922573.0900978,236922573.0900978,EUR
2021-12-13,EU,oil,162625314.25210932,162625314.25210932,162625314.25210932,162625314.25210932,162625314.25210932,EUR
2021-12-13,Others,coal,11176336.037167428,11176336.037167428,11176336.037167428,11176336.037167428,11176336.037167428,EUR
2021-12-13,Others,gas,440692.64556900505,440692.64556900505,440692.64556900505,440692.64556900505,440692.64556900505,EUR
2021-12-13,Others,oil,28637326.037128013,28637326.037128013,28637326.037128013,28637326.037128013,28637326.037128013,EUR
2021-12-13,Turkey,coal,1361390.2842188496,1361390.2842188496,1361390.2842188496,1361390.2842188496,1361390.2842188496,EUR
2021-12-13,Turkey,gas,21779867.49586515,21779867.49586515,21779867.49586515,21779867.49586515,21779867.49586515,EUR
2021-12-13,Turkey,oil,11694477.40097192,11694477.40097192,11694477.40097192,11694477.40097192,11694477.40097192,EUR
2021-12-13,United Kingdom,oil,27114800.15138974,27114800.15138974,27114800.15138974,27114800.15138974,27114800.15138974,EUR
2021-12-13,United States,oil,3733019.799435575,3733019.799435575,3733019.799435575,3733019.799435575,3733019.799435575,EUR
2021-12-14,China,oil,154602402.38031822,154602402.38031822,154602402.38031822,154602402.38031822,154602402.38031822,EUR
2021-12-14,EU,coal,6511428.996730661,6511428.996730661,6511428.996730661,6511428.996730661,6511428.996730661,EUR
2021-12-14,EU,gas,240034356.50501814,240034356.50501814,240034356.50501814,240034356.50501814,240034356.50501814,EUR
2021-12-14,EU,oil,140956913.81607214,140956913.81607214,140956913.81607214,140956913.81607214,140956913.81607214,EUR
2021-12-14,Others,coal,2676376.1389284893,2676376.1389284893,2676376.1389284893,2676376.1389284893,2676376.1389284893,EUR
2021-12-14,Others,gas,916088.8948973248,916088.8948973248,916088.8948973248,916088.8948973248,916088.8948973248,EUR
2021-12-14,Others,oil,104747723.07481353,104747723.07481353,104747723.07481353,104747723.07481353,104747723.07481353,EUR
2021-12-14,South Korea,coal,4519321.2871105615,4519321.2871105615,4519321.2871105615,4519321.2871105615,4519321.2871105615,EUR
2021-12-14,Turkey,gas,22004326.222112037,22004326.222112037,22004326.222112037,22004326.222112037,22004326.222112037,EUR
2021-12-14,Turkey,oil,3985490.608021099,3985490.608021099,3985490.608021099,3985490.608021099,3985490.608021099,EUR
2021-12-14,United Kingdom,gas,177295082.26353028,177295082.26353028,177295082.26353028,177295082.26353028,177295082.26353028,EUR
2021-12-14,United Kingdom,oil,22256391.90722867,22256391.90722867,22256391.90722867,22256391.90722867,22256391.90722867,EUR
2021-12-14,United States,oil,50544058.599976875,50544058.599976875,50544058.599976875,50544058.599976875,50544058.599976875,EUR
2021-12-15,EU,coal,12848596.531611223,12848596.531611223,12848596.531611223,12848596.531611223,12848596.531611223,EUR
2021-12-15,EU,gas,243838039.99229658,243838039.99229658,243838039.99229658,243838039.99229658,243838039.99229658,EUR
2021-12-15,EU,oil,117688150.48044507,117688150.48044507,117688150.48044507,117688150.48044507,117688150.48044507,EUR
2021-12-15,Others,coal,2185768.943051498,2185768.943051498,2185768.943051498,2185768.943051498,2185768.943051498,EUR
2021-12-15,Others,oil,34424968.512267366,34424968.512267366,34424968.512267366,34424968.512267366,34424968.512267366,EUR
2021-12-15,South Korea,coal,5337552.077055585,5337552.077055585,5337552.077055585,5337552.077055585,5337552.077055585,EUR
2021-12-15,Turkey,coal,5858998.685879103,5858998.685879103,5858998.685879103,5858998.685879103,5858998.685879103,EUR
